State,County,metro,Min. Wage,ftmw1,ftmw2,avtw1,avtw2,"aftw2
",fmr0,fmr1,fmr2,fmr3,fmr4,fmr0F1,fmr0F2,fmr0A1,fmr0A2,aftw2,fmr1F1,fmr1F2,fmr1A1,fmr1A2,aftw2,fmr2F1,fmr2F2,fmr2A1,fmr2A2,aftw2,fmr3F1,fmr3F2,fmr3A1,fmr3A2,aftw2,fmr4F1,fmr4F2,fmr4A1,fmr4A2,aftw2
OK,Kingfisher County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",439,460,623,802,1073,34.93%,17.47%,40.50%,20.25%,18.76%,36.68%,18.34%,42.53%,21.27%,19.65%,49.58%,24.79%,57.48%,28.74%,26.62%,63.82%,31.91%,73.99%,37.00%,34.27%,85.38%,42.69%,99.00%,49.50%,45.84%
OK,Kiowa County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",458,461,623,886,939,36.45%,18.22%,42.26%,21.13%,19.57%,39.47%,19.73%,45.76%,22.88%,19.70%,49.58%,24.79%,57.48%,28.74%,26.62%,70.50%,35.25%,81.74%,40.87%,37.85%,74.72%,37.36%,86.63%,43.32%,40.12%
OK,Latimer County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",439,496,623,900,903,34.93%,17.47%,40.50%,20.25%,18.76%,39.31%,19.66%,45.58%,22.79%,21.19%,49.58%,24.79%,57.48%,28.74%,26.62%,71.62%,35.81%,83.04%,41.52%,38.45%,71.86%,35.93%,83.31%,41.66%,38.58%
OK,Le Flore County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",491,494,623,818,1015,39.07%,19.54%,45.30%,22.65%,20.98%,39.95%,19.97%,46.32%,23.16%,21.11%,49.58%,24.79%,57.48%,28.74%,26.62%,65.09%,32.55%,75.47%,37.73%,34.95%,80.77%,40.38%,93.65%,46.82%,43.37%
OK,Lincoln County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",427,502,623,848,851,33.98%,16.99%,39.40%,19.70%,18.24%,46.47%,23.24%,53.88%,26.94%,21.45%,49.58%,24.79%,57.48%,28.74%,26.62%,67.48%,33.74%,78.24%,39.12%,36.23%,67.72%,33.86%,78.51%,39.26%,36.36%
OK,Logan County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",503,584,748,1024,1229,40.03%,20.01%,46.41%,23.20%,21.49%,41.78%,20.89%,48.44%,24.22%,24.95%,59.52%,29.76%,69.01%,34.51%,31.96%,81.49%,40.74%,94.48%,47.24%,43.75%,97.80%,48.90%,113.39%,56.69%,52.51%
OK,Love County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",439,525,623,867,870,34.93%,17.47%,40.50%,20.25%,18.76%,46.47%,23.24%,53.88%,26.94%,22.43%,49.58%,24.79%,57.48%,28.74%,26.62%,68.99%,34.50%,79.99%,40.00%,37.04%,69.23%,34.62%,80.27%,40.13%,37.17%
OK,McClain County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",503,584,748,1024,1229,40.03%,20.01%,46.41%,23.20%,21.49%,36.60%,18.30%,42.44%,21.22%,24.95%,59.52%,29.76%,69.01%,34.51%,31.96%,81.49%,40.74%,94.48%,47.24%,43.75%,97.80%,48.90%,113.39%,56.69%,52.51%
OK,McCurtain County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",439,460,623,848,1044,34.93%,17.47%,40.50%,20.25%,18.76%,36.60%,18.30%,42.44%,21.22%,19.65%,49.58%,24.79%,57.48%,28.74%,26.62%,67.48%,33.74%,78.24%,39.12%,36.23%,83.08%,41.54%,96.32%,48.16%,44.61%
OK,McIntosh County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",421,460,623,776,1103,33.50%,16.75%,38.84%,19.42%,17.99%,37.96%,18.98%,44.01%,22.00%,19.65%,49.58%,24.79%,57.48%,28.74%,26.62%,61.75%,30.88%,71.59%,35.80%,33.15%,87.77%,43.89%,101.76%,50.88%,47.13%
OK,Major County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",439,477,623,918,1103,34.93%,17.47%,40.50%,20.25%,18.76%,37.16%,18.58%,43.09%,21.54%,20.38%,49.58%,24.79%,57.48%,28.74%,26.62%,73.05%,36.53%,84.70%,42.35%,39.22%,87.77%,43.89%,101.76%,50.88%,47.13%
OK,Marshall County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",445,467,632,869,918,35.41%,17.71%,41.06%,20.53%,19.01%,36.60%,18.30%,42.44%,21.22%,19.95%,50.29%,25.15%,58.31%,29.15%,27.00%,69.15%,34.58%,80.18%,40.09%,37.13%,73.05%,36.53%,84.70%,42.35%,39.22%
OK,Mayes County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",371,460,623,857,1103,29.52%,14.76%,34.23%,17.11%,15.85%,36.92%,18.46%,42.81%,21.40%,19.65%,49.58%,24.79%,57.48%,28.74%,26.62%,68.20%,34.10%,79.07%,39.53%,36.62%,87.77%,43.89%,101.76%,50.88%,47.13%
OK,Murray County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",442,464,628,782,839,35.17%,17.59%,40.78%,20.39%,18.88%,45.76%,22.88%,53.05%,26.53%,19.82%,49.97%,24.99%,57.94%,28.97%,26.83%,62.23%,31.11%,72.15%,36.07%,33.41%,66.76%,33.38%,77.41%,38.70%,35.85%
OK,Muskogee County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",472,575,755,1056,1102,37.56%,18.78%,43.55%,21.77%,20.17%,41.78%,20.89%,48.44%,24.22%,24.57%,60.08%,30.04%,69.66%,34.83%,32.26%,84.03%,42.02%,97.43%,48.71%,45.12%,87.69%,43.85%,101.67%,50.84%,47.08%
OK,Noble County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",439,525,623,842,909,34.93%,17.47%,40.50%,20.25%,18.76%,41.22%,20.61%,47.79%,23.90%,22.43%,49.58%,24.79%,57.48%,28.74%,26.62%,67.00%,33.50%,77.68%,38.84%,35.97%,72.33%,36.17%,83.87%,41.93%,38.84%
OK,Nowata County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",455,518,646,805,974,36.21%,18.10%,41.98%,20.99%,19.44%,41.54%,20.77%,48.16%,24.08%,22.13%,51.41%,25.70%,59.60%,29.80%,27.60%,64.06%,32.03%,74.27%,37.14%,34.39%,77.51%,38.75%,89.86%,44.93%,41.61%
OK,Okfuskee County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",439,522,623,867,870,34.93%,17.47%,40.50%,20.25%,18.76%,46.47%,23.24%,53.88%,26.94%,22.30%,49.58%,24.79%,57.48%,28.74%,26.62%,68.99%,34.50%,79.99%,40.00%,37.04%,69.23%,34.62%,80.27%,40.13%,37.17%
OK,Oklahoma County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",503,584,748,1024,1229,40.03%,20.01%,46.41%,23.20%,21.49%,42.02%,21.01%,48.71%,24.36%,24.95%,59.52%,29.76%,69.01%,34.51%,31.96%,81.49%,40.74%,94.48%,47.24%,43.75%,97.80%,48.90%,113.39%,56.69%,52.51%
OK,Okmulgee County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",372,528,626,780,837,29.60%,14.80%,34.32%,17.16%,15.89%,47.82%,23.91%,55.45%,27.72%,22.56%,49.81%,24.91%,57.76%,28.88%,26.75%,62.07%,31.03%,71.96%,35.98%,33.33%,66.60%,33.30%,77.22%,38.61%,35.76%
OK,Osage County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",494,601,783,1062,1183,39.31%,19.66%,45.58%,22.79%,21.11%,37.24%,18.62%,43.18%,21.59%,25.68%,62.31%,31.15%,72.24%,36.12%,33.45%,84.51%,42.25%,97.98%,48.99%,45.37%,94.14%,47.07%,109.15%,54.57%,50.54%
OK,Ottawa County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",465,468,633,788,909,37.00%,18.50%,42.90%,21.45%,19.87%,41.78%,20.89%,48.44%,24.22%,20.00%,50.37%,25.19%,58.40%,29.20%,27.05%,62.71%,31.35%,72.70%,36.35%,33.67%,72.33%,36.17%,83.87%,41.93%,38.84%
OK,Pawnee County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",393,525,623,781,1030,31.27%,15.64%,36.26%,18.13%,16.79%,42.57%,21.29%,49.36%,24.68%,22.43%,49.58%,24.79%,57.48%,28.74%,26.62%,62.15%,31.07%,72.06%,36.03%,33.37%,81.96%,40.98%,95.03%,47.51%,44.01%
OK,Payne County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",434,535,697,1015,1234,34.54%,17.27%,40.04%,20.02%,18.54%,40.98%,20.49%,47.51%,23.76%,22.86%,55.46%,27.73%,64.31%,32.15%,29.78%,80.77%,40.38%,93.65%,46.82%,43.37%,98.20%,49.10%,113.85%,56.93%,52.72%
OK,Pittsburg County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",403,515,677,843,905,32.07%,16.03%,37.18%,18.59%,17.22%,41.78%,20.89%,48.44%,24.22%,22.00%,53.87%,26.94%,62.46%,31.23%,28.92%,67.08%,33.54%,77.78%,38.89%,36.02%,72.02%,36.01%,83.50%,41.75%,38.67%
OK,Pontotoc County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",439,525,623,836,1067,34.93%,17.47%,40.50%,20.25%,18.76%,37.96%,18.98%,44.01%,22.00%,22.43%,49.58%,24.79%,57.48%,28.74%,26.62%,66.53%,33.26%,77.13%,38.57%,35.72%,84.91%,42.45%,98.44%,49.22%,45.59%
OK,Pottawatomie County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",474,477,646,817,865,37.72%,18.86%,43.73%,21.87%,20.25%,36.60%,18.30%,42.44%,21.22%,20.38%,51.41%,25.70%,59.60%,29.80%,27.60%,65.01%,32.51%,75.38%,37.69%,34.91%,68.83%,34.42%,79.81%,39.90%,36.96%
OK,Pushmataha County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",439,460,623,820,918,34.93%,17.47%,40.50%,20.25%,18.76%,37.96%,18.98%,44.01%,22.00%,19.65%,49.58%,24.79%,57.48%,28.74%,26.62%,65.25%,32.63%,75.65%,37.83%,35.03%,73.05%,36.53%,84.70%,42.35%,39.22%
OK,Roger Mills County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",439,477,623,828,833,34.93%,17.47%,40.50%,20.25%,18.76%,47.82%,23.91%,55.45%,27.72%,20.38%,49.58%,24.79%,57.48%,28.74%,26.62%,65.89%,32.94%,76.39%,38.20%,35.38%,66.29%,33.14%,76.85%,38.43%,35.59%
OK,Rogers County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",494,601,783,1062,1183,39.31%,19.66%,45.58%,22.79%,21.11%,39.31%,19.66%,45.58%,22.79%,25.68%,62.31%,31.15%,72.24%,36.12%,33.45%,84.51%,42.25%,97.98%,48.99%,45.37%,94.14%,47.07%,109.15%,54.57%,50.54%
OK,Seminole County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",412,494,623,916,950,32.79%,16.39%,38.01%,19.01%,17.60%,38.75%,19.38%,44.93%,22.47%,21.11%,49.58%,24.79%,57.48%,28.74%,26.62%,72.89%,36.45%,84.51%,42.26%,39.14%,75.60%,37.80%,87.65%,43.82%,40.59%
OK,Sequoyah County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",484,487,638,850,958,38.51%,19.26%,44.65%,22.33%,20.68%,36.60%,18.30%,42.44%,21.22%,20.81%,50.77%,25.38%,58.86%,29.43%,27.26%,67.64%,33.82%,78.42%,39.21%,36.32%,76.23%,38.12%,88.39%,44.19%,40.93%
OK,Stephens County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",439,460,623,872,1103,34.93%,17.47%,40.50%,20.25%,18.76%,42.02%,21.01%,48.71%,24.36%,19.65%,49.58%,24.79%,57.48%,28.74%,26.62%,69.39%,34.69%,80.45%,40.23%,37.26%,87.77%,43.89%,101.76%,50.88%,47.13%
OK,Texas County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",441,528,626,780,1109,35.09%,17.55%,40.69%,20.34%,18.84%,37.24%,18.62%,43.18%,21.59%,22.56%,49.81%,24.91%,57.76%,28.88%,26.75%,62.07%,31.03%,71.96%,35.98%,33.33%,88.25%,44.12%,102.32%,51.16%,47.38%
OK,Tillman County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",439,468,623,809,833,34.93%,17.47%,40.50%,20.25%,18.76%,47.82%,23.91%,55.45%,27.72%,20.00%,49.58%,24.79%,57.48%,28.74%,26.62%,64.38%,32.19%,74.64%,37.32%,34.56%,66.29%,33.14%,76.85%,38.43%,35.59%
OK,Tulsa County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",494,601,783,1062,1183,39.31%,19.66%,45.58%,22.79%,21.11%,47.82%,23.91%,55.45%,27.72%,25.68%,62.31%,31.15%,72.24%,36.12%,33.45%,84.51%,42.25%,97.98%,48.99%,45.37%,94.14%,47.07%,109.15%,54.57%,50.54%
OK,Wagoner County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",494,601,783,1062,1183,39.31%,19.66%,45.58%,22.79%,21.11%,42.89%,21.45%,49.73%,24.86%,25.68%,62.31%,31.15%,72.24%,36.12%,33.45%,84.51%,42.25%,97.98%,48.99%,45.37%,94.14%,47.07%,109.15%,54.57%,50.54%
OK,Washington County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",388,539,652,952,1136,30.88%,15.44%,35.80%,17.90%,16.58%,41.78%,20.89%,48.44%,24.22%,23.03%,51.88%,25.94%,60.15%,30.08%,27.86%,75.76%,37.88%,87.83%,43.92%,40.67%,90.40%,45.20%,104.81%,52.40%,48.54%
OK,Washita County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",439,525,623,918,1103,34.93%,17.47%,40.50%,20.25%,18.76%,36.60%,18.30%,42.44%,21.22%,22.43%,49.58%,24.79%,57.48%,28.74%,26.62%,73.05%,36.53%,84.70%,42.35%,39.22%,87.77%,43.89%,101.76%,50.88%,47.13%
OK,Woods County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",439,460,623,776,837,34.93%,17.47%,40.50%,20.25%,18.76%,42.49%,21.25%,49.27%,24.63%,19.65%,49.58%,24.79%,57.48%,28.74%,26.62%,61.75%,30.88%,71.59%,35.80%,33.15%,66.60%,33.30%,77.22%,38.61%,35.76%
OK,Woodward County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",511,534,633,933,1121,40.66%,20.33%,47.15%,23.57%,21.83%,42.33%,21.17%,49.08%,24.54%,22.82%,50.37%,25.19%,58.40%,29.20%,27.05%,74.24%,37.12%,86.08%,43.04%,39.86%,89.20%,44.60%,103.43%,51.71%,47.89%
OR,Baker County,0,$9.25,"$19,240.00","$38,480.00","$16,594.50","$33,189.00","$35,834.50",515,532,677,867,951,32.12%,16.06%,37.24%,18.62%,17.25%,39.17%,19.58%,45.41%,22.71%,17.82%,42.22%,21.11%,48.96%,24.48%,22.67%,54.07%,27.04%,62.70%,31.35%,29.03%,59.31%,29.66%,68.77%,34.38%,31.85%
OR,Benton County,1,$9.25,"$19,240.00","$38,480.00","$16,594.50","$33,189.00","$35,834.50",490,628,823,1213,1458,30.56%,15.28%,35.43%,17.72%,16.41%,49.46%,24.73%,57.34%,28.67%,21.03%,51.33%,25.67%,59.51%,29.76%,27.56%,75.65%,37.83%,87.72%,43.86%,40.62%,90.94%,45.47%,105.43%,52.72%,48.82%
OR,Clackamas County,1,$9.25,"$19,240.00","$38,480.00","$16,594.50","$33,189.00","$35,834.50",682,793,944,1391,1672,42.54%,21.27%,49.32%,24.66%,22.84%,38.05%,19.02%,44.11%,22.06%,26.56%,58.88%,29.44%,68.26%,34.13%,31.61%,86.76%,43.38%,100.59%,50.29%,46.58%,104.28%,52.14%,120.91%,60.45%,55.99%
OR,Clatsop County,0,$9.25,"$19,240.00","$38,480.00","$16,594.50","$33,189.00","$35,834.50",562,610,824,1174,1459,35.05%,17.53%,40.64%,20.32%,18.82%,49.46%,24.73%,57.34%,28.67%,20.43%,51.39%,25.70%,59.59%,29.79%,27.59%,73.22%,36.61%,84.90%,42.45%,39.31%,91.00%,45.50%,105.50%,52.75%,48.86%
OR,Columbia County,1,$9.25,"$19,240.00","$38,480.00","$16,594.50","$33,189.00","$35,834.50",682,793,944,1391,1672,42.54%,21.27%,49.32%,24.66%,22.84%,34.74%,17.37%,40.28%,20.14%,26.56%,58.88%,29.44%,68.26%,34.13%,31.61%,86.76%,43.38%,100.59%,50.29%,46.58%,104.28%,52.14%,120.91%,60.45%,55.99%
OR,Coos County,0,$9.25,"$19,240.00","$38,480.00","$16,594.50","$33,189.00","$35,834.50",489,557,727,1029,1268,30.50%,15.25%,35.36%,17.68%,16.38%,35.68%,17.84%,41.36%,20.68%,18.65%,45.34%,22.67%,52.57%,26.29%,24.35%,64.18%,32.09%,74.41%,37.21%,34.46%,79.09%,39.54%,91.69%,45.85%,42.46%
OR,Crook County,0,$9.25,"$19,240.00","$38,480.00","$16,594.50","$33,189.00","$35,834.50",443,572,706,1040,1209,27.63%,13.81%,32.03%,16.02%,14.83%,37.11%,18.56%,43.03%,21.51%,19.15%,44.03%,22.02%,51.05%,25.53%,23.64%,64.86%,32.43%,75.21%,37.60%,34.83%,75.41%,37.70%,87.43%,43.71%,40.49%
OR,Curry County,0,$9.25,"$19,240.00","$38,480.00","$16,594.50","$33,189.00","$35,834.50",519,595,805,1184,1235,32.37%,16.19%,37.53%,18.77%,17.38%,40.29%,20.15%,46.71%,23.36%,19.92%,50.21%,25.10%,58.21%,29.11%,26.96%,73.85%,36.92%,85.62%,42.81%,39.65%,77.03%,38.51%,89.31%,44.65%,41.36%
OR,Deschutes County,1,$9.25,"$19,240.00","$38,480.00","$16,594.50","$33,189.00","$35,834.50",558,646,804,1149,1375,34.80%,17.40%,40.35%,20.18%,18.69%,36.67%,18.34%,42.52%,21.26%,21.63%,50.15%,25.07%,58.14%,29.07%,26.92%,71.66%,35.83%,83.09%,41.54%,38.48%,85.76%,42.88%,99.43%,49.72%,46.05%
OR,Douglas County,0,$9.25,"$19,240.00","$38,480.00","$16,594.50","$33,189.00","$35,834.50",498,588,775,1142,1373,31.06%,15.53%,36.01%,18.01%,16.68%,31.06%,15.53%,36.01%,18.01%,19.69%,48.34%,24.17%,56.04%,28.02%,25.95%,71.23%,35.61%,82.58%,41.29%,38.24%,85.63%,42.82%,99.29%,49.64%,45.98%
OR,Gilliam County,0,$9.25,"$19,240.00","$38,480.00","$16,594.50","$33,189.00","$35,834.50",422,498,655,945,1102,26.32%,13.16%,30.52%,15.26%,14.13%,31.19%,15.59%,36.16%,18.08%,16.68%,40.85%,20.43%,47.37%,23.68%,21.93%,58.94%,29.47%,68.34%,34.17%,31.65%,68.73%,34.37%,79.69%,39.84%,36.90%
OR,Grant County,0,$9.25,"$19,240.00","$38,480.00","$16,594.50","$33,189.00","$35,834.50",415,500,643,948,1139,25.88%,12.94%,30.01%,15.00%,13.90%,29.63%,14.81%,34.35%,17.17%,16.74%,40.10%,20.05%,46.50%,23.25%,21.53%,59.13%,29.56%,68.55%,34.28%,31.75%,71.04%,35.52%,82.36%,41.18%,38.14%
OR,Harney County,0,$9.25,"$19,240.00","$38,480.00","$16,594.50","$33,189.00","$35,834.50",415,475,643,801,859,25.88%,12.94%,30.01%,15.00%,13.90%,44.47%,22.23%,51.56%,25.78%,15.91%,40.10%,20.05%,46.50%,23.25%,21.53%,49.96%,24.98%,57.92%,28.96%,26.82%,53.58%,26.79%,62.12%,31.06%,28.77%
OR,Hood River County,0,$9.25,"$19,240.00","$38,480.00","$16,594.50","$33,189.00","$35,834.50",683,713,845,1245,1377,42.60%,21.30%,49.39%,24.69%,22.87%,38.92%,19.46%,45.12%,22.56%,23.88%,52.70%,26.35%,61.10%,30.55%,28.30%,77.65%,38.83%,90.03%,45.01%,41.69%,85.88%,42.94%,99.58%,49.79%,46.11%
OR,Jackson County,1,$9.25,"$19,240.00","$38,480.00","$16,594.50","$33,189.00","$35,834.50",617,624,844,1244,1402,38.48%,19.24%,44.62%,22.31%,20.66%,31.87%,15.94%,36.95%,18.48%,20.90%,52.64%,26.32%,61.03%,30.52%,28.26%,77.59%,38.79%,89.96%,44.98%,41.66%,87.44%,43.72%,101.38%,50.69%,46.95%
OR,Jefferson County,0,$9.25,"$19,240.00","$38,480.00","$16,594.50","$33,189.00","$35,834.50",401,511,643,948,951,25.01%,12.51%,29.00%,14.50%,13.43%,36.74%,18.37%,42.59%,21.30%,17.11%,40.10%,20.05%,46.50%,23.25%,21.53%,59.13%,29.56%,68.55%,34.28%,31.75%,59.31%,29.66%,68.77%,34.38%,31.85%
OR,Josephine County,0,$9.25,"$19,240.00","$38,480.00","$16,594.50","$33,189.00","$35,834.50",462,589,776,1122,1226,28.81%,14.41%,33.41%,16.70%,15.47%,35.24%,17.62%,40.86%,20.43%,19.72%,48.40%,24.20%,56.11%,28.06%,25.99%,69.98%,34.99%,81.14%,40.57%,37.57%,76.47%,38.23%,88.66%,44.33%,41.06%
OR,Klamath County,0,$9.25,"$19,240.00","$38,480.00","$16,594.50","$33,189.00","$35,834.50",430,565,697,1005,1216,26.82%,13.41%,31.09%,15.55%,14.40%,33.80%,16.90%,39.19%,19.60%,18.92%,43.47%,21.74%,50.40%,25.20%,23.34%,62.68%,31.34%,72.67%,36.34%,33.65%,75.84%,37.92%,87.93%,43.97%,40.72%
OR,Lake County,0,$9.25,"$19,240.00","$38,480.00","$16,594.50","$33,189.00","$35,834.50",415,542,643,801,1139,25.88%,12.94%,30.01%,15.00%,13.90%,38.48%,19.24%,44.62%,22.31%,18.15%,40.10%,20.05%,46.50%,23.25%,21.53%,49.96%,24.98%,57.92%,28.96%,26.82%,71.04%,35.52%,82.36%,41.18%,38.14%
OR,Lane County,1,$9.25,"$19,240.00","$38,480.00","$16,594.50","$33,189.00","$35,834.50",493,617,829,1193,1401,30.75%,15.37%,35.65%,17.83%,16.51%,40.98%,20.49%,47.51%,23.75%,20.66%,51.70%,25.85%,59.95%,29.97%,27.76%,74.41%,37.20%,86.27%,43.13%,39.95%,87.38%,43.69%,101.31%,50.66%,46.92%
OR,Lincoln County,0,$9.25,"$19,240.00","$38,480.00","$16,594.50","$33,189.00","$35,834.50",615,657,821,1210,1214,38.36%,19.18%,44.47%,22.24%,20.59%,36.92%,18.46%,42.81%,21.40%,22.00%,51.21%,25.60%,59.37%,29.68%,27.49%,75.47%,37.73%,87.50%,43.75%,40.52%,75.72%,37.86%,87.79%,43.89%,40.65%
OR,Linn County,0,$9.25,"$19,240.00","$38,480.00","$16,594.50","$33,189.00","$35,834.50",511,592,801,1166,1279,31.87%,15.94%,36.95%,18.48%,17.11%,30.81%,15.41%,35.72%,17.86%,19.82%,49.96%,24.98%,57.92%,28.96%,26.82%,72.72%,36.36%,84.32%,42.16%,39.05%,79.77%,39.89%,92.49%,46.24%,42.83%
OR,Malheur County,0,$9.25,"$19,240.00","$38,480.00","$16,594.50","$33,189.00","$35,834.50",443,494,643,906,967,27.63%,13.81%,32.03%,16.02%,14.83%,35.49%,17.74%,41.15%,20.57%,16.54%,40.10%,20.05%,46.50%,23.25%,21.53%,56.51%,28.25%,65.52%,32.76%,30.34%,60.31%,30.16%,69.93%,34.96%,32.38%
OR,Marion County,1,$9.25,"$19,240.00","$38,480.00","$16,594.50","$33,189.00","$35,834.50",538,569,768,1132,1360,33.56%,16.78%,38.90%,19.45%,18.02%,29.63%,14.81%,34.35%,17.17%,19.05%,47.90%,23.95%,55.54%,27.77%,25.72%,70.60%,35.30%,81.86%,40.93%,37.91%,84.82%,42.41%,98.35%,49.17%,45.54%
OR,Morrow County,0,$9.25,"$19,240.00","$38,480.00","$16,594.50","$33,189.00","$35,834.50",415,475,643,821,996,25.88%,12.94%,30.01%,15.00%,13.90%,49.46%,24.73%,57.34%,28.67%,15.91%,40.10%,20.05%,46.50%,23.25%,21.53%,51.21%,25.60%,59.37%,29.68%,27.49%,62.12%,31.06%,72.02%,36.01%,33.35%
OR,Multnomah County,1,$9.25,"$19,240.00","$38,480.00","$16,594.50","$33,189.00","$35,834.50",682,793,944,1391,1672,42.54%,21.27%,49.32%,24.66%,22.84%,35.49%,17.74%,41.15%,20.57%,26.56%,58.88%,29.44%,68.26%,34.13%,31.61%,86.76%,43.38%,100.59%,50.29%,46.58%,104.28%,52.14%,120.91%,60.45%,55.99%
OR,Polk County,1,$9.25,"$19,240.00","$38,480.00","$16,594.50","$33,189.00","$35,834.50",538,569,768,1132,1360,33.56%,16.78%,38.90%,19.45%,18.02%,38.67%,19.33%,44.83%,22.42%,19.05%,47.90%,23.95%,55.54%,27.77%,25.72%,70.60%,35.30%,81.86%,40.93%,37.91%,84.82%,42.41%,98.35%,49.17%,45.54%
OR,Sherman County,0,$9.25,"$19,240.00","$38,480.00","$16,594.50","$33,189.00","$35,834.50",474,620,735,966,1237,29.56%,14.78%,34.28%,17.14%,15.87%,38.54%,19.27%,44.69%,22.34%,20.76%,45.84%,22.92%,53.15%,26.58%,24.61%,60.25%,30.12%,69.85%,34.93%,32.35%,77.15%,38.58%,89.45%,44.73%,41.42%
OR,Tillamook County,0,$9.25,"$19,240.00","$38,480.00","$16,594.50","$33,189.00","$35,834.50",490,618,773,1070,1364,30.56%,15.28%,35.43%,17.72%,16.41%,34.62%,17.31%,40.13%,20.07%,20.70%,48.21%,24.11%,55.90%,27.95%,25.89%,66.74%,33.37%,77.38%,38.69%,35.83%,85.07%,42.54%,98.64%,49.32%,45.68%
OR,Umatilla County,0,$9.25,"$19,240.00","$38,480.00","$16,594.50","$33,189.00","$35,834.50",441,555,741,974,1312,27.51%,13.75%,31.89%,15.95%,14.77%,31.12%,15.56%,36.08%,18.04%,18.59%,46.22%,23.11%,53.58%,26.79%,24.81%,60.75%,30.37%,70.43%,35.22%,32.62%,81.83%,40.91%,94.87%,47.44%,43.94%
OR,Union County,0,$9.25,"$19,240.00","$38,480.00","$16,594.50","$33,189.00","$35,834.50",402,499,675,923,1165,25.07%,12.54%,29.07%,14.53%,13.46%,34.86%,17.43%,40.42%,20.21%,16.71%,42.10%,21.05%,48.81%,24.41%,22.60%,57.57%,28.78%,66.75%,33.37%,30.91%,72.66%,36.33%,84.24%,42.12%,39.01%
OR,Wallowa County,0,$9.25,"$19,240.00","$38,480.00","$16,594.50","$33,189.00","$35,834.50",450,559,698,869,984,28.07%,14.03%,32.54%,16.27%,15.07%,38.30%,19.15%,44.40%,22.20%,18.72%,43.53%,21.77%,50.47%,25.24%,23.37%,54.20%,27.10%,62.84%,31.42%,29.10%,61.37%,30.69%,71.16%,35.58%,32.95%
